Nature of complaint,Category
connecting rod bolts not fitted properly,Major Mechanical
hp strainer wire mesh damaged / torn out,Others
lp discharge pipe crack,Leaks (General)
hp con rod be bearing wornout,Major Mechanical
abnormal sound & shaft seal leakage,Shaft Seal
cylinder overheating-delivery valve leakage,Cylinder & Overheating
pressure gauge out-pointer below zero,Electrical & Instruments
abnormal sound-cylinder liner & piston ring set worn out,Sound & Vibration
krms issue-rms devise malfunctioning,KRMS & Sensors
leak from panel board-tee threading damaged and leak,Electrical & Instruments
hammer found in crankcase oil sump,Others
krms panel issue-discharge tempararture  sensor not working -cable is broken,KRMS & Sensors
"cylinder overheating, del valve ring spring broken",Cylinder & Overheating
kcx low oil pressure problem-high intermidiate pressure & liquid entry,Oil Pump
shaft key loose,Others
pressure gauge glycerin leak,Electrical & Instruments
cyinder overheat,Cylinder & Overheating
pressure switch mp55a malfuctioning,Electrical & Instruments
oil separator welding leakage,Leaks (General)
coupling diskpack crack,Coupling & Drive
solenoid valve issue,Valves & Solenoids
safety valve leakage,Valves & Solenoids
crankcase shell crack,Leaks (General)
discharge temp sensor burnt.,KRMS & Sensors
rms device malfuctioning,KRMS & Sensors
paint blistering on discharge pipe bend,Others
hp discharge pipe welding crack,Leaks (General)
oil lifting-cylinder liner & piston ring set wornout,Cylinder & Overheating
oil carryover-piston ring set worn out,Cylinder & Overheating
kcx oil pressure not developing-opr malfunctioning,Oil Pump
v-belt loose,Coupling & Drive
oil carryover-delivery valve leak,Valves & Solenoids
krms- pressure sensor cable not working,KRMS & Sensors
extended female adaptor damaged in transportation,Others
krms -discharge temparature sensor malfunctioning,KRMS & Sensors
discharge temparature sensor malfunctioning,KRMS & Sensors
krms-pressure transducer short supply,KRMS & Sensors
discharge stop valve threading damaged,Valves & Solenoids
oil carryover-knocking sound,Sound & Vibration
kcx low oil pressure problem,Oil Pump
kc suction filter housing leak,Leaks (General)
pressure gauge glycerin leak & gauge out,Electrical & Instruments
kcx oil pump pressure not stable,Oil Pump
delivery valve leakge,Valves & Solenoids
discharge flange bend,Others
asme oil separator 80 demister float valve position wrong,Others
high oil carryover-delivery valve leakage,Valves & Solenoids
abnormal sound-buffer spring shrinkage,Sound & Vibration
piston overheating-del valve leak,Cylinder & Overheating
oil consumption,Oil Consumption & Carryover
abnormal sound-cylinder siezed,Sound & Vibration
krms issue-smps and controller not working,KRMS & Sensors
krms issue,KRMS & Sensors
retainer plate damaged,Others
wrong name plate,Others
wrong name plate  of demister oil separators,Others
solenoid coil burnt,Valves & Solenoids
oil pressure issue.,Oil Pump
abnormal noise - oil carry over,Sound & Vibration
pressure transducer threading damaged at field by tl service engineer,KRMS & Sensors
suction oil filter spring missing,Others
pressure gauge glyceryne leakage,Electrical & Instruments
coil burnt at the time of commisioning,Electrical & Instruments
guage found damage at the time of comissioning,Others
abnormal sound observed on liner(hp),Sound & Vibration
kcx oil pump pressure issue,Oil Pump
shaft sheal assembly problem,Shaft Seal
suction pressure guage not working,Others
krms(discharge temparature sensor fault),KRMS & Sensors
suction pressure  gauge malfuctioning problem,Electrical & Instruments
pressuere gauge not working,Electrical & Instruments
solenoid coil not working,Valves & Solenoids
discharge temparature sensor broken,KRMS & Sensors
krms-discharge temparature sensor broken,KRMS & Sensors
shaftseal leakage,Shaft Seal
piston found crack,Others
loading- unloading problem,Loading & Unloading
discharge pressure adaptor m12 - threeding damage,Others
burn solenoid coil,Valves & Solenoids
crack on elbow connector,Others
ammonia pressure guage faulty,Others
"damage pressure guage and suction, discharge line vibration",Sound & Vibration
cut mark and blackish oil,Others
abnormal sound observed,Sound & Vibration
discharge temp.sensor failure,KRMS & Sensors
abnormal  sound,Sound & Vibration
kcx oil pump low oil-tang broken,Oil Pump
guage panal fitting leakage,Leaks (General)
excessive heat,Cylinder & Overheating
pump manifold leakage,Leaks (General)
oil pump not working,Oil Pump
solenoid coil issue,Valves & Solenoids
oil pressure trip issue,Others
oil carry over abnormal sound,Sound & Vibration
overheating of compressor-del valve leakage,Cylinder & Overheating
kcx manifold bolt broken,Others
oil carry over & knocking sound,Sound & Vibration
oil carry over & abnormal  sound,Sound & Vibration
float valve of oil seprator is not working,Others
abnormal sound-del valve spring broken,Sound & Vibration
oil pump purging issue.,Oil Pump
oil carry over issue,Oil Consumption & Carryover
abnormal sound-del valve kit broken,Sound & Vibration
leakage observed from tah8 valve,Valves & Solenoids
abnormal sound-piston ring set worn out,Sound & Vibration
abnormal sound-delivery valve spring broken,Sound & Vibration
abnormal sound-cylinder liner worn out,Sound & Vibration
krms display not working,KRMS & Sensors
discharge stop valve issue,Valves & Solenoids
loading/unloding issue,Others
connecting rod nut loose & step on del valve kit,Valves & Solenoids
manifold bolt broken,Others
vibration issue,Sound & Vibration
minor leakage from stop valve,Valves & Solenoids
dv assly leakage,Valves & Solenoids
oil differtial pressure,Others
over heat,Cylinder & Overheating
over heating issue,Cylinder & Overheating
solenoid coil malfunction,Valves & Solenoids
l.p cut out not functioning,Electrical & Instruments
oil pressure  issue,Oil Pump
crack in oil pimp body,Others
low oil pressuer,Others
overhrating,Others
abnormal sound in single piston,Sound & Vibration
sensor error issue,KRMS & Sensors
pressure guage not working,Others
high oil carry over & shaft seal lekage,Shaft Seal
anbormal sound,Sound & Vibration
solenoid valve plunger leak,Valves & Solenoids
pressure guage leak,Leaks (General)
overheating & knocking sound.,Sound & Vibration
abnormal sound- suc spring stuck,Sound & Vibration
krms panel problem,Electrical & Instruments
24v not receiving from smps card,KRMS & Sensors
filter housing damaged/crack,Leaks (General)
danfoss make stop valve arrow for flow direction is at opposite side,Valves & Solenoids
discharge temp sensor malfunction,KRMS & Sensors
coupling disk pack broken,Coupling & Drive
manufold fitting leakage,Leaks (General)
abnormal sound- dv leak,Sound & Vibration
required 24 vdc against 230 v,Others
shaft seal leakage-r22,Shaft Seal
krms hmi display not working,KRMS & Sensors
v-belt broken,Coupling & Drive
krms issue-suction temp sensor working.,KRMS & Sensors
knocking sound and overheating,Sound & Vibration
krms issue-suction temp sensor cable not working.,KRMS & Sensors
oil pressure issue-tang broken.,Oil Pump
discharge temperature sensor broken,KRMS & Sensors
kcx pump tang broken,Oil Pump
oil pressure regulator issue,Others
abnormal sound-dv leak,Sound & Vibration
knocking sound issue,Sound & Vibration
op pressure switcmalfunctioning,Electrical & Instruments
purging issue in oil pump,Oil Pump
solenoid valve assembly malfunction. no type,Valves & Solenoids
low oil pressure-bearings wornout,Oil Pump
welding leakage,Leaks (General)
tempearature sensor error,KRMS & Sensors
op pressure & pressure gauge switcmalfunctioning,Electrical & Instruments
oil separator float valve problem.,Valves & Solenoids
knocking abnormal sound,Sound & Vibration
overheated & abnormal sound,Sound & Vibration
compressor rusty,Others
oil pump isse,Oil Pump
loading issue,Loading & Unloading
filter housing crack,Leaks (General)
solenoid valve leak,Valves & Solenoids
shaf seal leakage,Shaft Seal
op pressure switch malfuctioning,Electrical & Instruments
sv coil burnt,Valves & Solenoids
high oil consumption& shaft seal leakage,Shaft Seal
filterhousing bolt broken,Others
discharge temperature sensor fail,KRMS & Sensors
oil pressure tripping,Others
intermediate pressure high & compressor overheat,Cylinder & Overheating
krms pressure transducer malfuctioning,KRMS & Sensors
solenoid valave coil burnt,Valves & Solenoids
solenoid leakage from bottom knob,Valves & Solenoids
solenoid col issue,Valves & Solenoids
kcx pump - airpurging,Others
heating and knocking sound in cylinder.,Sound & Vibration
base frame foundation hole missing,Others
weld leak at discharge pipe,Leaks (General)
pressure gauge swelled.,Electrical & Instruments
oil pressure problem due to oil pump tang brocken,Oil Pump
shaft seal leakage due to oring fail,Shaft Seal
driven gear tang broken,Oil Pump
pressure gauge glycerin leakage,Electrical & Instruments
lp pressure switch malfulctioning,Electrical & Instruments
crank shaft damaged at taper portion.,Major Mechanical
kcx pump - air purging,Oil Pump
kcx pump - tang broken,Others
pcx2 pump driving gear tang broken,Others
op switch malfunctioning,Others
kc pump - drive gear tang broken,Oil Pump
pressure gauge get swelled.,Electrical & Instruments
kcx pump - opr not working,Electrical & Instruments
kc pump - low oil pressure.,Oil Pump
k5 valve thread damaged.,Valves & Solenoids
high oil consumption-vld oring,Oil Consumption & Carryover
discharge temperature alarm.,Others
kcx manifold fitting leak,Leaks (General)
high oil consumption-orv malfuction,Oil Consumption & Carryover
krms - sensor not working,KRMS & Sensors
bearing cover fitting leak,Major Mechanical
kc pump - low oil pressure issue,Oil Pump
pressure gauge damaged.,Electrical & Instruments
pcx2 unloading problem,Loading & Unloading
krms - smps & pt malfuction,KRMS & Sensors
kcx pump - air purging problem,Oil Pump
abnormal sound and oilleakage,Sound & Vibration
Cylinder Overheating,Cylinder & Overheating
Abnormal Sound ,Sound & Vibration
Shaft seal leakage,Shaft Seal
KCX Oil pump low oil pressure issue,Oil Pump
High oil consumption- ORV Leak,Oil Consumption & Carryover
Oil pressure switch mal-functioning,Electrical & Instruments
Abnormal Noise,Sound & Vibration
KCX Pump - Tang broken,Others
KCX Pump - Air purging issue,Oil Pump
PCX Pump - Drive shaft tang broken,Others
High oil consumption,Oil Consumption & Carryover
Gauge board - Fitting leakage,Electrical & Instruments
Pressure switch malfuctioning,Electrical & Instruments
KRMA - Discharge sensor not working,KRMS & Sensors
Pressure gauge leakage,Electrical & Instruments
Abnormal sound,Sound & Vibration
Abnormal Sound,Sound & Vibration
KC Pump - Tang broken,Others
K5 valve thread was damaged.,Valves & Solenoids
"Solenoid valve leakage        
",Valves & Solenoids
Knocking Sound,Sound & Vibration
Painting issue,Others
High vibration at suction strainer,Sound & Vibration
Pressure Gauge malfunctioning,Electrical & Instruments
Oil separator float valve not working,Valves & Solenoids
KRMS-Pressure sensor cable issue.,KRMS & Sensors
KRMS - Discharge Pressure Alarm,KRMS & Sensors
"Fitting Leak-Pipe bend, disch. filter to shaft seal cover found leak",Shaft Seal
Cylinder Overheating -DV Leak,Cylinder & Overheating
Knocking Sound -DV Leak,Sound & Vibration
Abnormal Sound -DV Leak,Sound & Vibration
KCX Pump - Low oil pressure,Oil Pump
Safety valve leak -Suction Pressure High,Valves & Solenoids
Solenoid coil issue,Valves & Solenoids
Abnormal sound -DV Leak,Sound & Vibration
KCX  Pump Element damaged.,Oil Pump
Cylinder Overheating-DV Leak,Cylinder & Overheating
Oil filter manifold M10 bolts broken,Others
Rusty & Paint issue,Others
Oil Black within 3 Hrs,Oil Consumption & Carryover
KCX Pump low oil pressure issue,Oil Pump
Cylinder overheating - HP,Cylinder & Overheating
KCX Pump Tang broken,Oil Pump
Abnormal noise,Sound & Vibration
Solenoid spindle damaged,Valves & Solenoids
KRMS Suction temperature sensor malfunction.,KRMS & Sensors
Knocking sound- HP Piston Crack,Sound & Vibration
Stop Valve Leak,Valves & Solenoids
Pressure Gauge Leak,Electrical & Instruments
High Oil Consumption,Oil Consumption & Carryover
Oil pump tank broken,Oil Pump
Oil pump tang broken,Oil Pump
Cylinder overheating.,Cylinder & Overheating
Pressure switch malfuctioning ,Electrical & Instruments
Hour Meter not working,Hour Meter & Accessories
Delivery valve leakage,Valves & Solenoids
Oil pressure issue,Oil Pump
Oil Pressure not develop,Oil Pump
Solenoid valve leak ,Valves & Solenoids
 Oil Pressure Issue,Oil Pump
KRMS-Discharge temp sensor faulty.,KRMS & Sensors
KRMS - Controller issue.,KRMS & Sensors
Solenoid valve leak,Valves & Solenoids
Shaft Seal Leakage,Shaft Seal
 LP switch malfunctioning,Others
Abnormal  noise,Sound & Vibration
GAUGE LEAK INSIDE,Electrical & Instruments
Cylinder overheating,Cylinder & Overheating
KRMS Temp sensor malfuction,KRMS & Sensors
Pressure gauge malfuction,Electrical & Instruments
SV Coil Burnt,Valves & Solenoids
KRMS controller problem,KRMS & Sensors
KCX Pump oil pressure issue ,Oil Pump
KC Pump drive gear shaft broken ,Oil Pump
SV Coil burnt,Valves & Solenoids
